Folder;DeplNumber;Hydrophone;StartTime;StopTime;LATdeg;LATmin;LONdeg;LONmin;Comment;CalibrationFileBeginning;CalibrationStartIndBeginning;CalibrationStopIndBeginning;CalibrationFileEnd;CalibrationStartIndEnd;CalibrationStopIndEnd;CalibrationLevel;Depth;distance_to_bottom;BottomloggerID
D1_BottomMooredHydrophoneNo2;D1;Bottom moored hydrophone No2;10.02.2020 14:00;10.02:2020 19:45;60;7.214;5;5.761;Hydrophone on the shelf of the bay;H1_BottomMooredHydrophoneNo2\Before\Gain_20_dB\02_20200210-001725.wav;1;end;NA;NA;NA;148.5;64.50;8.00;RBR24076
D2_BottomMooredHydrophoneNo3;D2;Bottom moored hydrophone No3;10.02.2020 14:00;12.02.2020 03:17;60;7.337;5;4.109;Hydrophone in the inner part of the bay;H2_BottomMooredHydrophoneNo3\Before\Gain_20_dB\03_20200210-003637.wav;1;end;S2020830 _PH.U. SVERDRUP II[1007]\EXPERIMENTS\HYDROPHONES\H2_BottomMooredHydrophoneNo3\After\Gain_20_dB\03_20200214-085302.wav;500000;3500000;148.5;50.90;8.00;RBR24075
D3_SoundTrap;D3;Sound trap;10.02.2020 14:00;12.02.2020 14:00;60;7.337;5;4.109;Sound trap for vocalisations, inner part of the bay;;;;;;;;54.40;5.10;RBR24078
D4_VesselMountedHydrophones;D4;Vessel mounted hydrophone;12.02.2020;12.02.2020 14:17;NA;NA;;;Vessel hydrophone data for exposure 5.3;;;;;;;;9.00;NA;NA
D5_VerticalHydrophoneArrayNo4;D5;Vertical hydrophone array No4;12.02.2020;13.02.2020 14:51;60;7.238;5;5.074;Upper hydrophone in the array, center of the bay;H5_VerticalHydrophoneArrayNo4\Before\Gain_20_dB\04_20200210-171926.wav;1;1;NA;NA;NA;148.5;7.70;NA;RBR24080
D6_VerticalHydrophoneArrayNo5;D6;Vertical hydrophone array No5;12.02.2020;13.02.2020 14:52;60;7.238;5;5.074;Lower hydrophone in the array, center of the bay;H6_VerticalHydrophoneArrayNo5\Before\Gain_20_dB\05_20200210-174307.wav;1;end;S2020830 _PH.U. SVERDRUP II[1007]\EXPERIMENTS\HYDROPHONES\H6_VerticalHydrophoneArrayNo5\After\Gain_20_dB\05_20200214-105739.wav;1;end;148.5;37.00;Na;RBR24079
D7_BottomMooredHydrophoneNo3;D7;Bottom moored hydrophone No3;13.02.2020 12:30;14.02.2020 07:00;60;7.337;5;4.109;Hydrophone in the inner part of the bay;S2020830 _PH.U. SVERDRUP II[1007]\EXPERIMENTS\HYDROPHONES\H2_BottomMooredHydrophoneNo3\Before\Gain_20_dB\03_20200210-003637.wav;1;end;S2020830 _PH.U. SVERDRUP II[1007]\EXPERIMENTS\HYDROPHONES\H2_BottomMooredHydrophoneNo3\After\Gain_20_dB\03_20200214-085302.wav;500000;3500000;148.5;47.00;8.00;RBR24075
D8_SoundTrap;D8;Sound trap;13.02.2020 12:30;14.02.2020 06:40;60;7.337;5;4.109;Sound trap for vocalisations, inner part of the bay;;;;;;;;54.70;7.00;RBR24078
D9_IcListen;D9;IcListen;13.02.2020 12:30;13.02.2020 18:05;60;7.214;5;5.761;Replacing the bottom moored hydrophone No2 with IcListen, shelf of the bay;;;;;;;;65.40;3.70;RBR24076
D10_VesselMountedHydrophones;D10;Vessel mounted hydrophone;12.feb;12.02.2020 23:32;NA;NA;NA;;Vessel hydrophone data for exposure 6.2;;;;;;;;9.00;NA;NA
D11_VesselMountedHydrophones;D11;Vessel mounted hydrophone;13.feb;13.02.2020 08:39;NA;NA;NA;;Vessel hydrophone data for exposure 7.2;;;;;;;;9.00;NA;NA
D12_VesselMountedHydrophones;D12;Vessel mounted hydrophone;13.feb;13.02.2020 15:40;NA;NA;NA;;Vessel hydrophone data for exposure 8.1;;;;;;;;9.00;NA;NA
D13_VesselMountedHydrophones;D13;Vessel mounted hydrophone;14.feb;14.02.2020 03:41;NA;NA;NA;;Vessel hydrophone data for exposure 9.2;;;;;;;;9.00;NA;NA
